Instrument,Date,Settlement Price,Open Price,Close Price,Open Interest,RIC,Strike,Expiry,Expiry_Date
CL825L24^L24,2024-09-25T00:00:00Z,0.31,0.36,0.43,2286,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-26T00:00:00Z,0.23,0.23,0.23,3287,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-27T00:00:00Z,0.33,0.22,0.22,3287,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-30T00:00:00Z,0.28,0.27,0.31,3239,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-01T00:00:00Z,0.59,0.26,0.68,3759,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-02T00:00:00Z,0.92,0.88,1.03,3876,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-03T00:00:00Z,2.06,1.36,2.25,3859,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-04T00:00:00Z,1.84,2.18,2.42,3692,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-07T00:00:00Z,2.63,2.09,2.68,3735,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-08T00:00:00Z,1.58,3.0,1.27,3662,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-09T00:00:00Z,1.44,1.49,1.14,3636,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-10T00:00:00Z,2.3,1.71,2.44,3568,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-11T00:00:00Z,2.22,2.02,2.09,3699,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-14T00:00:00Z,1.59,1.8,1.8,3688,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-15T00:00:00Z,0.81,0.8,0.69,3428,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-16T00:00:00Z,0.7,0.86,0.73,3434,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-17T00:00:00Z,0.7,0.75,0.61,3435,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-18T00:00:00Z,0.57,0.6,0.56,3401,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-21T00:00:00Z,0.59,0.6,0.56,3267,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-22T00:00:00Z,0.89,0.66,0.92,3323,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-23T00:00:00Z,0.76,0.8,0.79,3255,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-24T00:00:00Z,0.63,0.84,0.64,3314,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-25T00:00:00Z,0.81,0.62,0.78,3316,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-28T00:00:00Z,0.16,0.2,0.2,3275,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-29T00:00:00Z,0.14,0.19,0.14,3295,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-30T00:00:00Z,0.13,0.15,0.17,3296,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-10-31T00:00:00Z,0.19,0.16,0.59,3299,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-11-01T00:00:00Z,0.27,0.35,0.27,3540,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-11-04T00:00:00Z,0.42,0.34,0.48,3475,CL825L24^L24,82.5,L24,2024-12-01
