Instrument,Date,Close Price
CLc1,5/18/2023,71.92
CLc1,5/19/2023,71.67
CLc1,5/22/2023,71.81
CLc1,5/23/2023,73.78
CLc1,5/24/2023,74.22
CLc1,5/25/2023,71.81
CLc1,5/26/2023,72.87
CLc1,5/26/2023,72.87
CLc1,5/30/2023,69.54
CLc1,5/31/2023,67.57
CLc1,6/1/2023,70.15
CLc1,6/2/2023,71.87
CLc1,6/5/2023,71.91
CLc1,6/6/2023,71.45
CLc1,6/7/2023,72.46
CLc1,6/8/2023,70.95
CLc1,6/9/2023,70.35
CLc1,6/12/2023,67.34
CLc1,6/13/2023,69.28
CLc1,6/14/2023,68.68
CLc1,6/15/2023,70.57
CLc1,6/16/2023,71.44
CLc1,6/16/2023,71.44
CLc1,6/20/2023,70.94
CLc1,6/21/2023,72.37
CLc1,6/22/2023,69.53
CLc1,6/23/2023,69.5
CLc1,6/26/2023,69.53
CLc1,6/27/2023,68.03
CLc1,6/28/2023,69.15
CLc1,6/29/2023,69.78
CLc1,6/30/2023,70.45
CLc1,7/3/2023,70.12
CLc1,7/3/2023,70.12
CLc1,7/5/2023,71.83
CLc1,7/6/2023,71.91
CLc1,7/7/2023,73.67
CLc1,7/10/2023,73.21
CLc1,7/11/2023,74.81
CLc1,7/12/2023,75.86
CLc1,7/13/2023,77.21
CLc1,7/14/2023,75.27
CLc1,7/17/2023,74.12
CLc1,7/18/2023,75.81
CLc1,7/19/2023,75.4
CLc1,7/20/2023,75.63
CLc1,7/21/2023,76.83
CLc1,7/24/2023,78.92
CLc1,7/25/2023,79.32
CLc1,7/26/2023,78.92
CLc1,7/27/2023,79.82
CLc1,7/28/2023,80.67
CLc1,7/31/2023,81.76
CLc1,8/1/2023,82.17
CLc1,8/2/2023,79.75
CLc1,8/3/2023,81.73
CLc1,8/4/2023,82.64
CLc1,8/7/2023,82.47
CLc1,8/8/2023,82.84
CLc1,8/9/2023,84.22
CLc1,8/10/2023,82.87
CLc1,8/11/2023,83.04
CLc1,8/14/2023,82.47
CLc1,8/15/2023,81.08
CLc1,8/16/2023,79.26
CLc1,8/17/2023,80.06
CLc1,8/18/2023,81.4
CLc1,8/21/2023,80.9
CLc1,8/22/2023,80.25
CLc1,8/23/2023,78.56
CLc1,8/24/2023,78.88
CLc1,8/25/2023,80.05
CLc1,8/28/2023,79.97
CLc1,8/29/2023,81.32
CLc1,8/30/2023,81.71
CLc1,8/31/2023,83.58
CLc1,9/1/2023,86.05
CLc1,9/1/2023,86.05
CLc1,9/5/2023,86.74
CLc1,9/6/2023,87.58
CLc1,9/7/2023,86.77
CLc1,9/8/2023,87.23
CLc1,9/11/2023,87.31
CLc1,9/12/2023,88.78
CLc1,9/13/2023,88.85
CLc1,9/14/2023,90.69
CLc1,9/15/2023,91.2
CLc1,9/18/2023,92.25
CLc1,9/19/2023,91.59
CLc1,9/20/2023,90.27
CLc1,9/21/2023,89.58
CLc1,9/22/2023,90.33
CLc1,9/25/2023,89.88
CLc1,9/26/2023,90.54
CLc1,9/27/2023,93.71
CLc1,9/28/2023,91.81
CLc1,9/29/2023,90.77
CLc1,10/2/2023,88.62
CLc1,10/3/2023,89.45
CLc1,10/4/2023,84.44
CLc1,10/5/2023,82.56
CLc1,10/6/2023,82.81
CLc1,10/9/2023,86.38
CLc1,10/10/2023,85.96
CLc1,10/11/2023,83.29
CLc1,10/12/2023,83.5
CLc1,10/13/2023,87.72
CLc1,10/16/2023,87.05
CLc1,10/17/2023,87.71
CLc1,10/18/2023,88.16
CLc1,10/19/2023,90.37
CLc1,10/20/2023,89.02
CLc1,10/23/2023,86.11
CLc1,10/24/2023,83.69
CLc1,10/25/2023,85.29
CLc1,10/26/2023,83.5
CLc1,10/27/2023,85.16
CLc1,10/30/2023,82.59
CLc1,10/31/2023,81.35
CLc1,11/1/2023,80.9
CLc1,11/2/2023,82.48
CLc1,11/3/2023,80.89
CLc1,11/6/2023,80.92
CLc1,11/7/2023,77.13
CLc1,11/8/2023,75.59
CLc1,11/9/2023,75.58
CLc1,11/10/2023,77.35
CLc1,11/13/2023,78.51
CLc1,11/14/2023,78.21
CLc1,11/15/2023,76.58
CLc1,11/16/2023,72.9
CLc1,11/17/2023,75.84
CLc1,11/20/2023,77.5
CLc1,11/21/2023,77.81
CLc1,11/22/2023,76.82
